,url,start,end,subtitle
19205,https://www.youtube.com/watch?v=c2CJllQHkDs&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=76,"00:13:06,999","00:13:12,439",(박수)
19538,https://www.youtube.com/watch?v=QPkdqUG379Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=116,"00:05:56,611","00:05:58,358",박수 쳐 주세요
19539,https://www.youtube.com/watch?v=QPkdqUG379Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=116,"00:05:58,358","00:06:00,475",(박수)
19647,https://www.youtube.com/watch?v=QPkdqUG379Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=116,"00:11:25,535","00:11:28,972",(박수)
19675,https://www.youtube.com/watch?v=QPkdqUG379Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=116,"00:12:45,414","00:12:48,830",(박수)
19704,https://www.youtube.com/watch?v=QPkdqUG379Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=116,"00:14:17,659","00:14:20,202",(박수)
19718,https://www.youtube.com/watch?v=QPkdqUG379Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=116,"00:15:00,943","00:15:06,334",(박수)
19762,https://www.youtube.com/watch?v=QPkdqUG379Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=116,"00:16:59,278","00:17:04,030",(박수)
19763,https://www.youtube.com/watch?v=LG0cLnZDYdg&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=79,"00:00:04,014","00:00:08,188",(박수)
19765,https://www.youtube.com/watch?v=LG0cLnZDYdg&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=79,"00:00:13,914","00:00:16,104",(박수)
19891,https://www.youtube.com/watch?v=LG0cLnZDYdg&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=79,"00:08:11,905","00:08:14,189",(박수)
20011,https://www.youtube.com/watch?v=MJUxnjMvTi0&index=80&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:04,463","00:00:12,031",(박수와 환호)
20090,https://www.youtube.com/watch?v=MJUxnjMvTi0&index=80&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:05:06,992","00:05:12,910",(박수)
20210,https://www.youtube.com/watch?v=MJUxnjMvTi0&index=80&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:12:44,835","00:12:49,758",(박수)
20267,https://www.youtube.com/watch?v=EysAiY8Lg8o&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=81,"00:00:07,710","00:00:10,243",(박수)
